Date,Product Name,Product Type,Brand,Gender,Category,Country,Quantity,Unit Price ($),Amount ($),Payment Mode,Month
2022-05-27,Fear of God Essentials Tee,Camiseta,Essentials,Unisex,Limited Edition,Japan,5,141.82,709.1,Cartão,5
2022-08-22,Yeezy Boost 350,Tênis,Adidas,Unisex,Streetwear,USA,2,267.34,534.68,Dinheiro,8
2022-04-03,Nike Dunk Low,Tênis,Nike,Feminino,Limited Edition,Germany,1,292.0,292.0,Dinheiro,4
2022-07-13,Nike Tech Fleece,Moletom com capuz,Nike,Masculino,Limited Edition,USA,4,245.44,981.76,Dinheiro,7
2022-08-25,Jordan 1 High,Tênis,Nike,Feminino,Casual,Australia,2,184.51,369.02,Dinheiro,8
2022-02-23,Yeezy Boost 350,Tênis,Adidas,Feminino,Casual,UK,2,128.86,257.72,UPI,2
2022-07-12,Fear of God Essentials Tee,Camiseta,Essentials,Feminino,Limited Edition,Germany,1,207.85,207.85,Carteira Digital,7
2022-07-14,Off-White Hoodie,Moletom com capuz,Off-White,Masculino,Streetwear,Canada,2,163.32,326.64,UPI,7
2022-06-20,Jordan 1 High,Tênis,Nike,Feminino,Streetwear,USA,3,199.47,598.41,Carteira Digital,6
2022-01-02,Jordan 1 High,Tênis,Nike,Unisex,Sportswear,Japan,4,298.22,1192.88,Carteira Digital,1
2022-06-25,Yeezy Boost 350,Tênis,Adidas,Masculino,Limited Edition,USA,1,117.18,117.18,Dinheiro,6
2022-01-31,Supreme Hoodie,Moletom com capuz,Supreme,Feminino,Casual,Germany,2,240.23,480.46,Dinheiro,1
2022-08-26,Nike Dunk Low,Tênis,Nike,Feminino,Casual,Germany,3,295.75,887.25,Cartão,8
2022-02-08,Supreme Hoodie,Moletom com capuz,Supreme,Unisex,Casual,India,1,54.44,54.44,Dinheiro,2
2022-08-25,Adidas Ultraboost,Tênis,Adidas,Unisex,Casual,USA,1,104.16,104.16,Carteira Digital,8
2022-05-15,Nike Dunk Low,Tênis,Nike,Feminino,Casual,UK,5,64.66,323.3,Cartão,5
2022-01-27,Supreme Hoodie,Moletom com capuz,Supreme,Masculino,Streetwear,Germany,3,114.29,342.87,UPI,1
2022-04-02,New Era Cap,Boné,New Era,Feminino,Sportswear,Germany,1,167.77,167.77,Dinheiro,4
2022-07-11,Fear of God Essentials Tee,Camiseta,Essentials,Feminino,Sportswear,India,3,167.36,502.08,UPI,7
2022-08-18,Nike Dunk Low,Tênis,Nike,Unisex,Streetwear,India,4,295.53,1182.12,Carteira Digital,8
2022-04-08,New Era Cap,Boné,New Era,Masculino,Limited Edition,UK,4,107.31,429.24,UPI,4
2022-06-07,Nike Tech Fleece,Moletom com capuz,Nike,Unisex,Sportswear,Germany,5,119.54,597.7,Cartão,6
2022-05-07,New Era Cap,Boné,New Era,Masculino,Sportswear,USA,3,295.25,885.75,Carteira Digital,5
2022-05-28,Adidas Ultraboost,Tênis,Adidas,Unisex,Sportswear,UK,4,63.73,254.92,Cartão,5
2022-06-25,Nike Tech Fleece,Moletom com capuz,Nike,Masculino,Streetwear,UK,4,86.13,344.52,UPI,6
2022-03-24,Jordan 1 High,Tênis,Nike,Masculino,Limited Edition,Japan,4,172.68,690.72,UPI,3
2022-02-25,Puma Joggers,Calça desportiva,Puma,Feminino,Streetwear,UK,5,203.5,1017.5,Cartão,2
2022-05-15,Nike Tech Fleece,Moletom com capuz,Nike,Unisex,Limited Edition,Germany,3,200.92,602.76,Dinheiro,5
2022-03-31,Supreme Hoodie,Moletom com capuz,Supreme,Feminino,Sportswear,Germany,1,251.98,251.98,Cartão,3
2022-08-10,Puma Joggers,Calça desportiva,Puma,Masculino,Streetwear,Japan,4,121.9,487.6,Cartão,8
2022-04-26,Off-White Hoodie,Moletom com capuz,Off-White,Unisex,Streetwear,USA,4,258.82,1035.28,Dinheiro,4
2022-02-24,Nike Dunk Low,Tênis,Nike,Feminino,Sportswear,USA,2,203.05,406.1,Dinheiro,2
2022-01-07,Puma Joggers,Calça desportiva,Puma,Feminino,Limited Edition,UK,2,130.05,260.1,Carteira Digital,1
2022-06-28,New Era Cap,Boné,New Era,Feminino,Casual,Canada,4,185.54,742.16,UPI,6
2022-03-08,Off-White Hoodie,Moletom com capuz,Off-White,Feminino,Casual,UK,5,234.84,1174.2,Cartão,3
2022-07-26,Yeezy Boost 350,Tênis,Adidas,Feminino,Limited Edition,Canada,2,134.39,268.78,Dinheiro,7
2022-02-16,Off-White Hoodie,Moletom com capuz,Off-White,Masculino,Limited Edition,India,3,82.56,247.68,UPI,2
2022-07-17,Off-White Hoodie,Moletom com capuz,Off-White,Masculino,Limited Edition,Germany,4,191.11,764.44,Carteira Digital,7
2022-04-28,Yeezy Boost 350,Tênis,Adidas,Unisex,Sportswear,Australia,1,70.69,70.69,UPI,4
2022-03-13,Off-White Hoodie,Moletom com capuz,Off-White,Feminino,Casual,UK,1,89.14,89.14,Dinheiro,3
2022-07-24,New Era Cap,Boné,New Era,Unisex,Limited Edition,India,4,135.07,540.28,Dinheiro,7
2022-06-11,Adidas Ultraboost,Tênis,Adidas,Masculino,Streetwear,Germany,2,223.0,446.0,Dinheiro,6
2022-06-28,Fear of God Essentials Tee,Camiseta,Essentials,Unisex,Limited Edition,UK,4,238.52,954.08,Dinheiro,6
2022-07-12,Nike Tech Fleece,Moletom com capuz,Nike,Feminino,Casual,Australia,5,120.55,602.75,UPI,7
2022-02-13,New Era Cap,Boné,New Era,Feminino,Streetwear,Germany,4,212.66,850.64,Carteira Digital,2
2022-07-10,Off-White Hoodie,Moletom com capuz,Off-White,Feminino,Streetwear,Canada,5,256.22,1281.1,Carteira Digital,7
2022-01-22,Jordan 1 High,Tênis,Nike,Unisex,Casual,Canada,4,124.4,497.6,Carteira Digital,1
2022-06-18,Jordan 1 High,Tênis,Nike,Feminino,Casual,Germany,2,80.33,160.66,Cartão,6
2022-03-18,Supreme Hoodie,Moletom com capuz,Supreme,Unisex,Sportswear,Canada,5,58.65,293.25,UPI,3
2022-08-21,Nike Dunk Low,Tênis,Nike,Feminino,Streetwear,USA,5,183.55,917.75,Dinheiro,8
2022-07-07,Puma Joggers,Calça desportiva,Puma,Unisex,Streetwear,Canada,2,210.77,421.54,Cartão,7
2022-05-11,Yeezy Boost 350,Tênis,Adidas,Unisex,Casual,Germany,4,218.82,875.28,Carteira Digital,5
2022-06-17,Fear of God Essentials Tee,Camiseta,Essentials,Feminino,Sportswear,UK,5,133.74,668.7,Cartão,6
2022-05-24,Adidas Ultraboost,Tênis,Adidas,Feminino,Casual,UK,1,208.47,208.47,Dinheiro,5
2022-05-28,Off-White Hoodie,Moletom com capuz,Off-White,Unisex,Limited Edition,Canada,1,180.42,180.42,Dinheiro,5
2022-06-29,Puma Joggers,Calça desportiva,Puma,Masculino,Casual,Japan,3,127.36,382.08,Cartão,6
2022-05-25,Supreme Hoodie,Moletom com capuz,Supreme,Masculino,Streetwear,Japan,3,149.51,448.53,Dinheiro,5
2022-03-09,New Era Cap,Boné,New Era,Masculino,Casual,India,3,136.36,409.08,Cartão,3
2022-08-21,Nike Tech Fleece,Moletom com capuz,Nike,Unisex,Casual,UK,5,162.38,811.9,Cartão,8
2022-05-27,Puma Joggers,Calça desportiva,Puma,Feminino,Sportswear,Australia,2,259.66,519.32,Carteira Digital,5
2022-05-22,Off-White Hoodie,Moletom com capuz,Off-White,Masculino,Streetwear,Canada,1,180.39,180.39,Cartão,5
2022-06-02,Off-White Hoodie,Moletom com capuz,Off-White,Masculino,Limited Edition,Canada,3,80.35,241.05,Cartão,6
2022-03-06,Fear of God Essentials Tee,Camiseta,Essentials,Masculino,Streetwear,Japan,2,222.08,444.16,UPI,3
2022-03-21,Puma Joggers,Calça desportiva,Puma,Feminino,Sportswear,Germany,1,287.44,287.44,UPI,3
2022-07-16,Fear of God Essentials Tee,Camiseta,Essentials,Unisex,Limited Edition,UK,5,137.9,689.5,UPI,7
2022-03-19,Off-White Hoodie,Moletom com capuz,Off-White,Unisex,Streetwear,Canada,3,214.68,644.04,UPI,3
2022-08-04,Nike Tech Fleece,Moletom com capuz,Nike,Feminino,Limited Edition,USA,2,269.88,539.76,Dinheiro,8
2022-05-03,Jordan 1 High,Tênis,Nike,Unisex,Sportswear,India,1,96.97,96.97,Carteira Digital,5
2022-07-01,New Era Cap,Boné,New Era,Feminino,Limited Edition,Australia,4,270.55,1082.2,Dinheiro,7
2022-06-16,Adidas Ultraboost,Tênis,Adidas,Unisex,Sportswear,Australia,3,261.31,783.93,Cartão,6
2022-01-10,New Era Cap,Boné,New Era,Unisex,Sportswear,USA,4,56.4,225.6,Cartão,1
2022-07-08,Yeezy Boost 350,Tênis,Adidas,Masculino,Sportswear,Germany,3,239.55,718.65,Cartão,7
2022-08-20,Jordan 1 High,Tênis,Nike,Unisex,Limited Edition,Germany,2,94.62,189.24,Dinheiro,8
2022-07-24,Fear of God Essentials Tee,Camiseta,Essentials,Unisex,Limited Edition,Germany,4,57.22,228.88,Dinheiro,7
2022-07-14,Nike Dunk Low,Tênis,Nike,Masculino,Limited Edition,Germany,1,170.86,170.86,Carteira Digital,7
2022-02-11,Adidas Ultraboost,Tênis,Adidas,Masculino,Streetwear,Australia,3,105.79,317.37,Carteira Digital,2
2022-05-26,Adidas Ultraboost,Tênis,Adidas,Masculino,Streetwear,Australia,5,112.95,564.75,Cartão,5
2022-08-20,Off-White Hoodie,Moletom com capuz,Off-White,Unisex,Limited Edition,USA,5,55.8,279.0,Cartão,8
2022-05-05,Supreme Hoodie,Moletom com capuz,Supreme,Masculino,Sportswear,India,1,50.1,50.1,Cartão,5
2022-08-31,Yeezy Boost 350,Tênis,Adidas,Masculino,Limited Edition,USA,1,56.49,56.49,UPI,8
2022-04-21,Off-White Hoodie,Moletom com capuz,Off-White,Masculino,Sportswear,Australia,5,100.65,503.25,Carteira Digital,4
2022-08-21,Adidas Ultraboost,Tênis,Adidas,Masculino,Casual,Japan,2,160.44,320.88,UPI,8
2022-04-15,Puma Joggers,Calça desportiva,Puma,Feminino,Streetwear,Japan,4,242.44,969.76,Dinheiro,4
2022-05-07,Yeezy Boost 350,Tênis,Adidas,Unisex,Streetwear,Australia,2,209.81,419.62,Cartão,5
2022-03-14,Adidas Ultraboost,Tênis,Adidas,Masculino,Casual,India,4,261.96,1047.84,Dinheiro,3
2022-08-30,Supreme Hoodie,Moletom com capuz,Supreme,Masculino,Casual,USA,3,242.71,728.13,Dinheiro,8
2022-06-06,Jordan 1 High,Tênis,Nike,Feminino,Limited Edition,USA,5,299.3,1496.5,Cartão,6
2022-08-29,Yeezy Boost 350,Tênis,Adidas,Unisex,Streetwear,USA,4,162.85,651.4,UPI,8
2022-08-02,Puma Joggers,Calça desportiva,Puma,Unisex,Streetwear,Japan,5,215.63,1078.15,Cartão,8
2022-05-31,Jordan 1 High,Tênis,Nike,Feminino,Limited Edition,Germany,1,54.99,54.99,Dinheiro,5
2022-02-01,Yeezy Boost 350,Tênis,Adidas,Masculino,Sportswear,UK,4,185.7,742.8,Carteira Digital,2
2022-04-09,Nike Tech Fleece,Moletom com capuz,Nike,Unisex,Streetwear,Canada,2,153.75,307.5,Dinheiro,4
2022-03-21,Supreme Hoodie,Moletom com capuz,Supreme,Masculino,Limited Edition,Australia,5,235.5,1177.5,Carteira Digital,3
2022-07-23,Supreme Hoodie,Moletom com capuz,Supreme,Feminino,Casual,Canada,3,239.76,719.28,Cartão,7
2022-02-07,Off-White Hoodie,Moletom com capuz,Off-White,Masculino,Casual,USA,4,213.82,855.28,Cartão,2
2022-04-27,Yeezy Boost 350,Tênis,Adidas,Feminino,Casual,Japan,1,67.2,67.2,Carteira Digital,4
2022-03-07,New Era Cap,Boné,New Era,Masculino,Sportswear,Japan,4,207.05,828.2,UPI,3
2022-05-05,Nike Tech Fleece,Moletom com capuz,Nike,Unisex,Sportswear,Japan,3,257.92,773.76,Carteira Digital,5
2022-06-18,Yeezy Boost 350,Tênis,Adidas,Feminino,Limited Edition,Canada,1,122.32,122.32,Dinheiro,6
2022-05-26,Fear of God Essentials Tee,Camiseta,Essentials,Unisex,Casual,USA,1,203.63,203.63,Dinheiro,5
2022-05-28,Jordan 1 High,Tênis,Nike,Masculino,Sportswear,Canada,3,278.15,834.45,Carteira Digital,5
2022-07-03,Nike Tech Fleece,Moletom com capuz,Nike,Masculino,Sportswear,Germany,3,129.78,389.34,Cartão,7
2022-06-05,Jordan 1 High,Tênis,Nike,Masculino,Casual,Australia,5,199.42,997.1,Dinheiro,6
2022-06-26,Adidas Ultraboost,Tênis,Adidas,Masculino,Limited Edition,Japan,5,98.23,491.15,Dinheiro,6
2022-05-07,Nike Dunk Low,Tênis,Nike,Unisex,Streetwear,Australia,1,114.47,114.47,Carteira Digital,5
2022-03-04,Puma Joggers,Calça desportiva,Puma,Feminino,Streetwear,Japan,5,224.71,1123.55,UPI,3
2022-01-29,Jordan 1 High,Tênis,Nike,Unisex,Limited Edition,India,3,104.04,312.12,Dinheiro,1
2022-03-02,Puma Joggers,Calça desportiva,Puma,Masculino,Sportswear,UK,5,140.26,701.3,Cartão,3
2022-06-01,Adidas Ultraboost,Tênis,Adidas,Masculino,Streetwear,UK,5,215.38,1076.9,Cartão,6
2022-05-15,Yeezy Boost 350,Tênis,Adidas,Feminino,Limited Edition,Australia,4,127.55,510.2,Dinheiro,5
2022-08-30,Jordan 1 High,Tênis,Nike,Feminino,Limited Edition,UK,3,182.2,546.6,Cartão,8
2022-04-04,Nike Tech Fleece,Moletom com capuz,Nike,Masculino,Casual,Germany,4,246.66,986.64,Dinheiro,4
2022-06-16,Yeezy Boost 350,Tênis,Adidas,Feminino,Casual,Japan,5,262.68,1313.4,Carteira Digital,6
2022-01-24,Adidas Ultraboost,Tênis,Adidas,Masculino,Limited Edition,USA,3,101.39,304.17,Dinheiro,1
2022-02-14,Off-White Hoodie,Moletom com capuz,Off-White,Feminino,Casual,Japan,1,59.05,59.05,Dinheiro,2
